exercise_id,exercise_name,body_region,movement_pattern,primary_muscle,secondary_muscles,equipment,difficulty_level,exercise_role,default_sets,min_reps,max_reps,target_type,default_rest_seconds,progression_type,replacement_group,beginner_friendly,stability_demand,lower_back_demand,knee_demand,shoulder_demand,progression_friendliness,is_unilateral,active
machine_chest_press,Machine Chest Press,Upper,Horizontal Push,Chest,Triceps; Front Deltoid,Machine,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,horizontal_push_supported,Yes,Low,Low,Low,Moderate,High,False,True
dumbbell_bench_press,Dumbbell Bench Press,Upper,Horizontal Push,Chest,Triceps; Front Deltoid,Dumbbell; Bench,2,Primary Compound,3,8,12,Repetitions,150,Load and Reps,horizontal_push_free_weight,Conditional,Moderate,Low,Low,Moderate,High,False,True
barbell_bench_press,Barbell Bench Press,Upper,Horizontal Push,Chest,Triceps; Front Deltoid,Barbell; Bench; Rack,3,Primary Compound,3,5,8,Repetitions,180,Load and Reps,horizontal_push_barbell,Conditional,Moderate,Low,Low,Moderate,High,False,True
smith_machine_bench_press,Smith Machine Bench Press,Upper,Horizontal Push,Chest,Triceps; Front Deltoid,Smith Machine; Bench,2,Primary Compound,3,6,10,Repetitions,150,Load and Reps,horizontal_push_supported,Yes,Low,Low,Low,Moderate,High,False,True
incline_dumbbell_press,Incline Dumbbell Press,Upper,Incline Horizontal Push,Upper Chest,Front Deltoid; Triceps,Dumbbell; Adjustable Bench,2,Secondary Compound,3,8,12,Repetitions,150,Load and Reps,incline_push,Yes,Moderate,Low,Low,Moderate,High,False,True
incline_machine_chest_press,Incline Machine Chest Press,Upper,Incline Horizontal Push,Upper Chest,Front Deltoid; Triceps,Machine,1,Secondary Compound,3,8,12,Repetitions,150,Load and Reps,incline_push,Yes,Low,Low,Low,Moderate,High,False,True
push_up,Push-Up,Upper,Horizontal Push,Chest,Triceps; Front Deltoid; Core,Bodyweight,2,Secondary Compound,3,8,20,Repetitions,120,Difficulty Progression,bodyweight_horizontal_push,Conditional,Moderate,Low,Low,Moderate,Moderate,False,True
incline_push_up,Incline Push-Up,Upper,Horizontal Push,Chest,Triceps; Front Deltoid,Bodyweight; Bench,1,Secondary Compound,3,8,20,Repetitions,90,Difficulty Progression,bodyweight_horizontal_push,Yes,Low,Low,Low,Low,Moderate,False,True
cable_fly,Cable Fly,Upper,Chest Isolation,Chest,Front Deltoid,Cable,2,Isolation,3,10,15,Repetitions,75,Load and Reps,chest_isolation,Yes,Moderate,Low,Low,Moderate,High,False,True
pec_deck,Pec Deck,Upper,Chest Isolation,Chest,,Machine,1,Isolation,3,10,15,Repetitions,75,Load and Reps,chest_isolation,Yes,Low,Low,Low,Low,High,False,True
dumbbell_fly,Dumbbell Fly,Upper,Chest Isolation,Chest,Front Deltoid,Dumbbell; Bench,3,Isolation,2,10,15,Repetitions,75,Load and Reps,chest_isolation_free_weight,Conditional,Moderate,Low,Low,High,Moderate,False,True
seated_cable_row,Seated Cable Row,Upper,Horizontal Pull,Mid Back,Lats; Rear Deltoid; Biceps,Cable,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,horizontal_pull_supported,Yes,Low,Low,Low,Low,High,False,True
chest_supported_machine_row,Chest-Supported Machine Row,Upper,Horizontal Pull,Mid Back,Lats; Rear Deltoid; Biceps,Machine,1,Primary Compound,3,8,12,Repetitions,150,Load and Reps,horizontal_pull_supported,Yes,Low,Low,Low,Low,High,False,True
chest_supported_dumbbell_row,Chest-Supported Dumbbell Row,Upper,Horizontal Pull,Mid Back,Rear Deltoid; Lats; Biceps,Dumbbell; Incline Bench,2,Secondary Compound,3,8,12,Repetitions,150,Load and Reps,horizontal_pull_supported,Yes,Low,Low,Low,Low,High,False,True
one_arm_dumbbell_row,One-Arm Dumbbell Row,Upper,Horizontal Pull,Lats,Mid Back; Biceps,Dumbbell; Bench,2,Secondary Compound,3,8,12,Repetitions,120,Load and Reps,unilateral_horizontal_pull,Yes,Moderate,Moderate,Low,Low,High,True,True
barbell_bent_over_row,Barbell Bent-Over Row,Upper,Horizontal Pull,Mid Back,Lats; Rear Deltoid; Biceps; Spinal Erectors,Barbell,3,Primary Compound,3,6,10,Repetitions,180,Load and Reps,unsupported_horizontal_pull,No,High,High,Low,Low,High,False,True
